Id,Date,SleepEfficiency
1503960366,,0.95
1503960366,,0.94
1503960366,,NULL
1503960366,,0.93
1503960366,,0.93
1503960366,,0.98
1503960366,,NULL
1503960366,,0.95
1503960366,,0.95
1503960366,,0.89
1503960366,,NULL
1503960366,,0.94
1503960366,,0.96
1503960366,,0.86
1503960366,,0.89
1503960366,,NULL
1503960366,,0.93
1503960366,,0.96
1503960366,,0.95
1503960366,,0.93
1503960366,,0.9
1503960366,,0.92
1503960366,,NULL
1503960366,,0.94
1503960366,,0.91
1503960366,,0.95
1503960366,,0.97
1503960366,,0.99
1503960366,,0.95
1503960366,,0.93
1503960366,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1624580081,,NULL
1644430081,,NULL
1644430081,,NULL
1644430081,,NULL
1644430081,,NULL
1644430081,,NULL
1644430081,,NULL
1644430081,,NULL
1644430081,,NULL
1644430081,,NULL
1644430081,,NULL
1644430081,,NULL
1644430081,,NULL
1644430081,,NULL
1644430081,,NULL
1644430081,,NULL
1644430081,,NULL
1644430081,,NULL
1644430081,,0.94
1644430081,,0.87
1644430081,,NULL
1644430081,,0.83
1644430081,,NULL
1644430081,,NULL
1644430081,,NULL
1644430081,,NULL
1644430081,,NULL
1644430081,,0.89
1644430081,,NULL
1644430081,,NULL
1644430081,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,0.67
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,0.75
1844505072,,0.61
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1844505072,,NULL
1927972279,,0.97
1927972279,,0.94
1927972279,,NULL
1927972279,,0.95
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
1927972279,,0.94
1927972279,,NULL
1927972279,,0.93
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
1927972279,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2022484408,,NULL
2026352035,,0.92
2026352035,,0.94
2026352035,,0.96
2026352035,,0.91
2026352035,,0.92
2026352035,,0.88
2026352035,,NULL
2026352035,,0.92
2026352035,,0.9
2026352035,,0.93
2026352035,,0.95
2026352035,,0.94
2026352035,,0.94
2026352035,,0.95
2026352035,,NULL
2026352035,,0.93
2026352035,,0.94
2026352035,,0.96
2026352035,,0.94
2026352035,,0.97
2026352035,,0.94
2026352035,,NULL
2026352035,,0.96
2026352035,,0.96
2026352035,,0.96
2026352035,,0.98
2026352035,,0.95
2026352035,,0.96
2026352035,,0.94
2026352035,,0.95
2026352035,,0.94
